fecha,pais,incidencia_7d
2020-01-01,Ecuador,0.0
2020-01-02,Ecuador,0.0
2020-01-03,Ecuador,0.0
2020-01-04,Ecuador,0.0
2020-01-05,Ecuador,0.0
2020-01-06,Ecuador,0.0
2020-01-07,Ecuador,0.0
2020-01-08,Ecuador,0.0
2020-01-09,Ecuador,0.0
2020-01-10,Ecuador,0.0
2020-01-11,Ecuador,0.0
2020-01-12,Ecuador,0.0
2020-01-13,Ecuador,0.0
2020-01-14,Ecuador,0.0
2020-01-15,Ecuador,0.0
2020-01-16,Ecuador,0.0
2020-01-17,Ecuador,0.0
2020-01-18,Ecuador,0.0
2020-01-19,Ecuador,0.0
2020-01-20,Ecuador,0.0
2020-01-21,Ecuador,0.0
2020-01-22,Ecuador,0.0
2020-01-23,Ecuador,0.0
2020-01-24,Ecuador,0.0
2020-01-25,Ecuador,0.0
2020-01-26,Ecuador,0.0
2020-01-27,Ecuador,0.0
2020-01-28,Ecuador,0.0
2020-01-29,Ecuador,0.0
2020-01-30,Ecuador,0.0
2020-01-31,Ecuador,0.0
2020-02-01,Ecuador,0.0
2020-02-02,Ecuador,0.0
2020-02-03,Ecuador,0.0
2020-02-04,Ecuador,0.0
2020-02-05,Ecuador,0.0
2020-02-06,Ecuador,0.0
2020-02-07,Ecuador,0.0
2020-02-08,Ecuador,0.0
2020-02-09,Ecuador,0.0
2020-02-10,Ecuador,0.0
2020-02-11,Ecuador,0.0
2020-02-12,Ecuador,0.0
2020-02-13,Ecuador,0.0
2020-02-14,Ecuador,0.0
2020-02-15,Ecuador,0.0
2020-02-16,Ecuador,0.0
2020-02-17,Ecuador,0.0
2020-02-18,Ecuador,0.0
2020-02-19,Ecuador,0.0
2020-02-20,Ecuador,0.0
2020-02-21,Ecuador,0.0
2020-02-22,Ecuador,0.0
2020-02-23,Ecuador,0.0
2020-02-24,Ecuador,0.0
2020-02-25,Ecuador,0.0
2020-02-26,Ecuador,0.0
2020-02-27,Ecuador,0.0
2020-02-28,Ecuador,0.0
2020-02-29,Ecuador,0.0
2020-03-01,Ecuador,0.0
2020-03-02,Ecuador,0.0008014939912115703
2020-03-03,Ecuador,0.004808963947269422
2020-03-04,Ecuador,0.004808963947269423
2020-03-05,Ecuador,0.005610457938480993
2020-03-06,Ecuador,0.008014939912115705
2020-03-07,Ecuador,0.010419421885750416
2020-03-08,Ecuador,0.010419421885750416
2020-03-09,Ecuador,0.011220915876961985
2020-03-10,Ecuador,0.007213445920904134
2020-03-11,Ecuador,0.007213445920904134
2020-03-12,Ecuador,0.006411951929692563
2020-03-13,Ecuador,0.007213445920904134
2020-03-14,Ecuador,0.004808963947269423
2020-03-15,Ecuador,0.008014939912115705
2020-03-16,Ecuador,0.010419421885750416
2020-03-17,Ecuador,0.01763286780665455
2020-03-18,Ecuador,0.07694342315631075
2020-03-19,Ecuador,0.11220915876961986
2020-03-20,Ecuador,0.11942260469052399
2020-03-21,Ecuador,0.14426891841808268
2020-03-22,Ecuador,0.38712159775518845
2020-03-23,Ecuador,0.4039529715706314
2020-03-24,Ecuador,0.6035249753823125
2020-03-25,Ecuador,0.7518013637564529
2020-03-26,Ecuador,0.8159208830533785
2020-03-27,Ecuador,0.8359582328336678
2020-03-28,Ecuador,1.1188856117313521
2020-03-29,Ecuador,1.0555675864256382
2020-03-30,Ecuador,1.0884288400653126
2020-03-31,Ecuador,0.9393509576999605
2020-04-01,Ecuador,0.9545793435329804
2020-04-02,Ecuador,1.2623530361582234
2020-04-03,Ecuador,1.5645162708449853
2020-04-04,Ecuador,1.2567425782197421
2020-04-05,Ecuador,1.3160531335693986
2020-04-06,Ecuador,1.2623530361582234
2020-04-07,Ecuador,1.430666774312653
2020-04-08,Ecuador,1.406621954576306
2020-04-09,Ecuador,1.3641427730420925
2020-04-10,Ecuador,1.4442921721632496
2020-04-11,Ecuador,3.204372976863858
2020-04-12,Ecuador,3.0392652146742742
2020-04-13,Ecuador,3.2067774588374927
2020-04-14,Ecuador,3.0312502747621584
2020-04-15,Ecuador,2.8917903202913453
